index,status,param_train_end,param_num_boost_round,param_learning_rate,param_num_leaves,param_feature_fraction,param_bagging_fraction,param_min_data_in_leaf,param_lambda_l1,param_lambda_l2,param_early_stopping_rounds,train_ic,train_ir,val_ic,val_ir,n_train_dates,n_val_dates,train_val_gap
0,ok,1700,280,0.05,16,0.8,0.6,30,0.01,0.1,20,0.3220833709361493,1.473371528842267,0.07203871689060398,0.39417622477707775,1695,257,0.2500446540455453
1,ok,1700,240,0.07,16,0.6,0.8,50,0.001,0.1,10,0.31997086713629685,1.4891047592738909,0.0650186360948526,0.374430702559428,1695,257,0.25495223104144427
2,ok,1800,200,0.03,31,0.8,0.6,30,0.001,0.1,10,0.33684529146859776,1.6380857690110242,0.10044796317372937,0.4965583805720037,1795,157,0.2363973282948684
3,ok,1750,280,0.03,48,0.8,0.8,50,0.01,0.01,10,0.3194877938221274,1.4905187384440275,0.08340222551844181,0.4404510877050818,1745,207,0.23608556830368557
4,ok,1750,280,0.07,48,0.6,0.7,30,0.001,0.001,10,0.36174621872961676,1.721802821349712,0.07746979348505982,0.46124472640323855,1745,207,0.28427642524455693
5,ok,1750,280,0.07,48,0.8,0.6,30,0.01,0.1,30,0.3598117568528657,1.7782206716698532,0.07509674409865198,0.48062631378859405,1745,207,0.28471501275421374
6,ok,1750,240,0.05,31,0.7,0.6,50,0.0,0.1,30,0.31361197965097254,1.5053559524042517,0.0848620639158087,0.45606324073174725,1745,207,0.22874991573516384
7,ok,1800,240,0.05,48,0.8,0.6,50,0.0,0.001,10,0.30287452899536554,1.4528701957387609,0.1059213636895086,0.6054303505930737,1795,157,0.19695316530585694
8,ok,1750,200,0.05,16,0.8,0.6,30,0.0,0.001,20,0.3045303147451152,1.4371108204820362,0.07861372611904709,0.428837834022814,1745,207,0.22591658862606812
9,ok,1700,200,0.07,31,0.8,0.6,50,0.001,0.01,30,0.30204794360773546,1.4138856332720007,0.06734290195017319,0.3983285900532828,1695,257,0.23470504165756229
10,ok,1800,160,0.03,31,0.6,0.6,80,0.01,0.1,30,0.27432160992709587,1.2959085612460246,0.10345116681112235,0.5362673043023297,1795,157,0.17087044311597352
11,ok,1700,280,0.03,31,0.8,0.6,50,0.0,0.001,10,0.25911180967979,1.0934468474921297,0.08219953834448987,0.389437214407121,1695,257,0.1769122713353001
12,ok,1700,240,0.05,31,0.7,0.6,80,0.001,0.1,10,0.21598259000208517,0.9189997543669868,0.06662936771653134,0.3192866881988978,1695,257,0.1493532222855538
13,ok,1750,280,0.03,16,0.6,0.8,30,0.0,0.01,10,0.2895854969252548,1.2855000241913832,0.08951129618664509,0.4392009887720663,1745,207,0.2000742007386097
14,ok,1750,240,0.03,16,0.8,0.6,80,0.001,0.001,20,0.22027976365641933,0.9923816786319436,0.08364769075509318,0.4332380562627515,1745,207,0.13663207290132615
15,ok,1800,200,0.07,31,0.6,0.7,80,0.001,0.001,20,0.2855256468869514,1.3824783543843782,0.08794054817457983,0.5369521803234506,1795,157,0.1975850987123716
16,ok,1800,280,0.05,16,0.6,0.7,80,0.01,0.01,10,0.25085831623621746,1.170209397946923,0.09052819268114382,0.4732451265508859,1795,157,0.16033012355507364
17,ok,1700,240,0.03,16,0.8,0.8,50,0.0,0.001,20,0.3304248536106602,1.4869522863466833,0.07783938097661551,0.38093561347934984,1695,257,0.2525854726340447
18,ok,1750,280,0.07,48,0.6,0.8,50,0.0,0.01,20,0.3544314400868053,1.7505988039545408,0.07995975713515378,0.4728710395255207,1745,207,0.27447168295165153
19,ok,1800,160,0.07,16,0.6,0.6,80,0.0,0.01,10,0.2508619093169815,1.1997886446375072,0.08343902149260948,0.474736653959179,1795,157,0.167422887824372
20,ok,1700,240,0.05,16,0.8,0.6,50,0.0,0.001,30,0.29873966300957505,1.3694187028595928,0.07307124553693954,0.40912430448681425,1695,257,0.2256684174726355
21,ok,1750,280,0.07,16,0.6,0.6,80,0.0,0.1,30,0.24920620755806633,1.20692182338132,0.07968890556409455,0.43803079318461896,1745,207,0.16951730199397178
22,ok,1700,240,0.03,48,0.6,0.6,30,0.0,0.1,30,0.38136393871331875,1.8254442955999017,0.08502095955869471,0.4379503208417465,1695,257,0.29634297915462404
23,ok,1700,280,0.05,48,0.7,0.8,30,0.001,0.001,20,0.40677260201848847,1.9585380410835187,0.07076496347358804,0.3901331775134265,1695,257,0.33600763854490046
24,ok,1700,160,0.05,48,0.7,0.8,30,0.01,0.001,10,0.38053964948404995,1.7548171582633585,0.07035420703794905,0.37798628626987923,1695,257,0.3101854424461009
25,ok,1800,280,0.07,48,0.6,0.6,30,0.0,0.1,30,0.37654672499341163,1.9392027309614883,0.09041558725774496,0.6113404217832643,1795,157,0.2861311377356667
26,ok,1800,280,0.03,16,0.6,0.7,50,0.0,0.1,20,0.3159783440082782,1.5341119783852875,0.09755577227987755,0.5009374820855017,1795,157,0.21842257172840063
27,ok,1700,160,0.07,48,0.8,0.7,80,0.0,0.1,20,0.2535613717675209,1.1513947311813761,0.07581662940611114,0.4346947651843228,1695,257,0.17774474236140977
28,ok,1800,240,0.05,48,0.7,0.8,50,0.0,0.1,20,0.35459893631926226,1.7650014467369295,0.08925790458180016,0.49869513974438207,1795,157,0.2653410317374621
29,ok,1800,200,0.07,48,0.8,0.6,30,0.0,0.01,20,0.38665625001023224,2.043425566805157,0.10717607174425024,0.6692030663279197,1795,157,0.279480178265982
30,ok,1750,280,0.05,31,0.7,0.8,80,0.01,0.001,30,0.3005760336621561,1.423312428967546,0.08443447651159926,0.4725837548030795,1745,207,0.21614155715055683
31,ok,1700,240,0.07,16,0.8,0.7,30,0.01,0.1,20,0.32448462146753365,1.506711447521426,0.060884477366478625,0.3455503223046186,1695,257,0.26360014410105503
32,ok,1700,200,0.05,31,0.6,0.6,30,0.01,0.001,10,0.33076970441121767,1.489827034711359,0.07203786539655192,0.36244284921482217,1695,257,0.25873183901466573
33,ok,1750,160,0.07,16,0.8,0.7,30,0.001,0.001,20,0.3254737630998251,1.6213880571469754,0.07580349172952819,0.41189751056242796,1745,207,0.24967027137029693
34,ok,1700,240,0.03,31,0.6,0.8,80,0.01,0.001,20,0.270176032467398,1.1409546109671451,0.06826886475238825,0.3290406364131488,1695,257,0.20190716771500977
35,ok,1750,240,0.03,48,0.7,0.8,30,0.001,0.01,10,0.3714675624044281,1.7157901137667024,0.086230451884897,0.4460653749420711,1745,207,0.28523711051953105
36,ok,1700,160,0.05,48,0.7,0.6,50,0.01,0.01,10,0.26980894620530094,1.2094967522644928,0.06724623812732487,0.32632811942305145,1695,257,0.20256270807797605
37,ok,1700,240,0.05,16,0.6,0.7,30,0.001,0.01,20,0.3095150105264981,1.4005363231117873,0.06577589374190802,0.3404065384580074,1695,257,0.2437391167845901
38,ok,1800,160,0.03,16,0.8,0.7,50,0.001,0.001,20,0.3182367756026029,1.583828618526489,0.09862245635257372,0.5368716275524379,1795,157,0.21961431925002917
39,ok,1700,280,0.07,16,0.6,0.8,80,0.0,0.001,30,0.2910707940029187,1.3592977288033794,0.06374854759164103,0.3385663009715437,1695,257,0.22732224641127766
40,ok,1800,240,0.05,48,0.7,0.8,30,0.01,0.1,10,0.4007216286668399,1.942699813218891,0.08557415955471621,0.4845489515019294,1795,157,0.3151474691121237
41,ok,1800,280,0.05,31,0.6,0.8,30,0.001,0.01,20,0.428066836214213,2.2194934949444987,0.08287280657904839,0.49661232475773703,1795,157,0.3451940296351646
42,ok,1700,200,0.05,31,0.8,0.7,30,0.001,0.001,30,0.39023948399398595,1.8888080020857114,0.07384489876872118,0.41848113914019,1695,257,0.31639458522526476
43,ok,1750,280,0.03,16,0.8,0.8,80,0.0,0.01,10,0.2383012357157413,1.0203733616595503,0.08185402731731971,0.38698764521030266,1745,207,0.15644720839842158
44,ok,1750,240,0.03,16,0.7,0.8,30,0.0,0.01,30,0.3251269946195618,1.5077411481848761,0.09218734532930768,0.49947316923382934,1745,207,0.23293964929025412
45,ok,1700,200,0.05,16,0.8,0.7,80,0.001,0.001,20,0.24265721477418267,1.0603171425839977,0.07568808297516347,0.3972348608440939,1695,257,0.1669691317990192
46,ok,1800,280,0.07,16,0.8,0.6,50,0.0,0.001,10,0.2931252419707424,1.408103909908468,0.08832617317574346,0.4900835548507465,1795,157,0.20479906879499896
47,ok,1700,240,0.07,31,0.8,0.7,30,0.0,0.001,30,0.38524418490252416,1.8902405169369432,0.06822503663446597,0.39836401298310076,1695,257,0.3170191482680582
48,ok,1700,160,0.03,31,0.7,0.7,80,0.0,0.1,20,0.25010320965073624,1.0763376409608323,0.07994853507700303,0.40093514762528476,1695,257,0.1701546745737332
49,ok,1800,280,0.05,31,0.8,0.7,50,0.0,0.01,30,0.3518998076744064,1.7999441096389555,0.0975120606855175,0.5665155374378171,1795,157,0.2543877469888889
50,ok,1700,280,0.05,48,0.6,0.8,50,0.001,0.001,10,0.3232962723906076,1.4776766062927584,0.07526346119097083,0.3805619460046294,1695,257,0.24803281119963677
51,ok,1800,280,0.07,31,0.8,0.6,50,0.001,0.01,10,0.29012263432973406,1.3984548855101027,0.0896196630151557,0.5026488992115113,1795,157,0.20050297131457837
52,ok,1800,160,0.05,31,0.6,0.7,30,0.01,0.1,20,0.3728722950924696,1.8453398956735556,0.08098860719015684,0.5106494971679937,1795,157,0.2918836879023128
53,ok,1700,280,0.05,31,0.6,0.6,30,0.001,0.001,20,0.34765923760886214,1.5919144788537918,0.07168575543669269,0.37104897074876964,1695,257,0.27597348217216944
54,ok,1750,160,0.05,48,0.6,0.8,30,0.01,0.1,30,0.4371830118830736,2.3246549504168796,0.08521477360869605,0.504858601041552,1745,207,0.35196823827437757
55,ok,1750,280,0.03,48,0.8,0.8,50,0.01,0.001,10,0.319654048622375,1.4914883980077698,0.08392943389292314,0.4430743498929707,1745,207,0.2357246147294519
56,ok,1700,240,0.03,16,0.7,0.7,30,0.01,0.01,20,0.31027317448596153,1.4199868236554523,0.06364397838510616,0.30799695607045596,1695,257,0.24662919610085537
57,ok,1800,280,0.03,31,0.7,0.7,30,0.001,0.01,20,0.37501037694761746,1.8827181262479322,0.0945005744735818,0.472688721729004,1795,157,0.2805098024740357
58,ok,1750,240,0.05,48,0.8,0.8,50,0.001,0.001,30,0.3603800438444202,1.7619742877175422,0.07809549755656948,0.47722105088104655,1745,207,0.2822845462878507
59,ok,1700,200,0.03,48,0.7,0.7,50,0.01,0.01,30,0.3011882818022524,1.3282180734267142,0.06803781812449282,0.3332816012630142,1695,257,0.23315046367775955
60,ok,1800,240,0.03,31,0.7,0.6,80,0.001,0.01,20,0.26464644661975206,1.244428873658863,0.10089488000449932,0.5250747411124538,1795,157,0.16375156661525275
61,ok,1800,200,0.05,31,0.6,0.8,30,0.0,0.01,30,0.4365051430255793,2.2590752550599156,0.0783948895904006,0.4663832902770513,1795,157,0.3581102534351787
62,ok,1700,200,0.07,48,0.6,0.6,30,0.001,0.01,30,0.3649329677686537,1.73029604257982,0.0745761598763346,0.4314215975821963,1695,257,0.2903568078923191
63,ok,1700,240,0.05,48,0.7,0.7,30,0.001,0.001,30,0.39287887994460335,1.904240200433057,0.05913880946715334,0.321107890462405,1695,257,0.33374007047745
64,ok,1750,240,0.07,16,0.6,0.7,30,0.01,0.1,30,0.3212157078071226,1.5558480559840964,0.08433013009205904,0.475598390757609,1745,207,0.23688557771506358
65,ok,1800,160,0.05,16,0.7,0.7,80,0.0,0.001,20,0.2698116576399291,1.3029700260925727,0.0879704125423898,0.505791110848554,1795,157,0.1818412450975393
66,ok,1750,240,0.07,31,0.7,0.6,50,0.001,0.01,20,0.30461047246653905,1.4896947164772174,0.08116617259546105,0.46200172052787947,1745,207,0.223444299871078
67,ok,1750,200,0.03,31,0.6,0.6,50,0.01,0.1,30,0.31292189900436157,1.500632793975025,0.09127483569314856,0.49696746745949544,1745,207,0.221647063311213
68,ok,1750,240,0.07,48,0.8,0.8,50,0.01,0.001,30,0.36596374563885803,1.8019940161360573,0.08174843418290083,0.5029214657395025,1745,207,0.2842153114559572
69,ok,1750,240,0.05,48,0.6,0.6,80,0.0,0.1,10,0.22108802337088748,0.9922617107115156,0.07899635462374839,0.3879559401706441,1745,207,0.14209166874713908
70,ok,1750,240,0.07,16,0.6,0.8,50,0.001,0.001,10,0.3143736434903673,1.4818424621248947,0.0793444169564406,0.48893847967958426,1745,207,0.2350292265339267
71,ok,1700,200,0.07,16,0.8,0.6,50,0.0,0.001,30,0.29672553800945717,1.3916032315285591,0.06554939885740728,0.38996869336843626,1695,257,0.23117613915204988
72,ok,1700,280,0.07,48,0.7,0.6,30,0.0,0.01,20,0.36124289711901086,1.7119767095178673,0.0706191731092307,0.41639959075605476,1695,257,0.29062372400978015
73,ok,1700,280,0.07,48,0.7,0.8,50,0.0,0.001,20,0.36392272019926425,1.7277256541421953,0.06496933573855666,0.3659661513541711,1695,257,0.29895338446070757
74,ok,1750,240,0.05,16,0.8,0.8,30,0.01,0.1,20,0.33304848299263257,1.5822058610697565,0.08996008019643288,0.5060369108254099,1745,207,0.2430884027961997
75,ok,1750,160,0.07,31,0.8,0.8,80,0.0,0.1,30,0.30929052279944375,1.5335154201043137,0.07918778992495165,0.4963408884802865,1745,207,0.2301027328744921
76,ok,1700,200,0.03,48,0.6,0.6,30,0.001,0.1,10,0.3410462131341655,1.5407945565974301,0.08724040689978038,0.4352893132336382,1695,257,0.2538058062343851
77,ok,1700,240,0.05,31,0.8,0.7,50,0.0,0.01,10,0.28009655404514777,1.2188732673742584,0.0643449581997229,0.3312974227356085,1695,257,0.21575159584542486
78,ok,1750,160,0.05,31,0.8,0.7,50,0.01,0.01,10,0.31586242135769577,1.5085124028416907,0.08498296438274962,0.4657974999933608,1745,207,0.23087945697494616
79,ok,1750,240,0.07,48,0.8,0.6,50,0.001,0.001,10,0.27442409046481303,1.2587669911700894,0.06649617528687704,0.37109907618787347,1745,207,0.207927915177936
80,ok,1800,280,0.07,16,0.6,0.7,30,0.001,0.01,30,0.30713415472285555,1.4906491492890264,0.08750732002066942,0.4683167457976075,1795,157,0.21962683470218614
81,ok,1750,200,0.03,48,0.7,0.7,80,0.0,0.01,10,0.21004790493872363,0.877587834212089,0.08606754098133557,0.3914330238434375,1745,207,0.12398036395738807
82,ok,1700,240,0.03,16,0.8,0.8,30,0.001,0.001,20,0.30628378793850575,1.312999786487003,0.07851135751138821,0.3718318044191097,1695,257,0.22777243042711753
83,ok,1750,240,0.07,16,0.8,0.7,50,0.001,0.01,20,0.33333893742649023,1.641139894160455,0.08925924812216406,0.5339136267815224,1745,207,0.24407968930432616
84,ok,1700,240,0.07,16,0.8,0.8,80,0.0,0.01,30,0.3022616554571839,1.3868794196703467,0.07322342573327796,0.4098040064462914,1695,257,0.22903822972390597
85,ok,1700,240,0.07,16,0.6,0.6,50,0.001,0.1,30,0.3230077369024658,1.5219520651518508,0.07968691773507283,0.45364667328640923,1695,257,0.24332081916739298
86,ok,1750,160,0.07,48,0.6,0.6,80,0.01,0.01,10,0.230137674112563,1.0828843694479793,0.07298913023966563,0.4030594301448489,1745,207,0.15714854387289737
87,ok,1700,160,0.05,48,0.6,0.6,30,0.01,0.01,10,0.3308985238069596,1.4911489430277471,0.07228171289064458,0.36299849173703647,1695,257,0.25861681091631505
88,ok,1700,280,0.05,48,0.6,0.7,80,0.0,0.01,30,0.27408005863720186,1.2509309014794203,0.07115399176790317,0.38561300938326293,1695,257,0.2029260668692987
